,UsernamePost,DatePosting,Posting,Saham
484,Berkshire2002,"12 May 21, 15:17","$BIPI stelah bikin ribuan orang nyangkut disini ? Apakah kamu jadi mw loncat dari monas @Valhala82

$UNVR $HMSP $BRIS $BACA siap makan korban lagi nichh!!

Siap siap yach semua!!!","BACA,BIPI,BRIS,HMSP,UNVR"
485,gambler,"12 May 21, 15:15 · Edited on 12 May 21, 15:17","ini yg dibilang high risk, high gain... disaat hampir semua orang bilang jangan , tetapi kamu justru melakukan nya... & hanya sebagian kecil yg punya nyali kaya gtu..",[]
486,Laresae,"12 May 21, 15:14",@PejuangInvestasi gambar data dr mana y sumbernya gan? atau dr aplikasi apa?,[]
487,kaburterus,"12 May 21, 15:12","@DosenInvestasi sudah di check belom itu $BANK yang elu bangga2 kan, sudah berdiri semnjak tahun berapa?

Kenapa masih kopong tidak ada yang percaya mau nabung di sono? Bahkan gw berani tarohan pegawainya dan direksinya juga takut tarok duit disono, alias kagak percaya.

Bank adalah bisnis kepercayaan. Kalo ngakunya dosen tapi yang begitu saja nggak dipahami.... gw tarohan juga jangan2 ente dosen kosong juga?",BANK
488,kaburterus,"12 May 21, 15:12","@DosenInvestasi sudah di check belom itu $BANK yang elu bangga2 kan, sudah berdiri semnjak tahun berapa?

Kenapa masih kopong tidak ada yang percaya mau nabung di sono? Bahkan gw berani tarohan pegawainya dan direksinya juga takut tarok duit disono, alias kagak percaya.

Bank adalah bisnis kepercayaan. Kalo ngakunya dosen tapi yang begitu saja nggak dipahami.... gw tarohan juga jangan2 ente dosen kosong juga?",BANK
489,Berkshire2002,"12 May 21, 15:11",@ckck keren banget sich kk ini!! Mw dunk diajarin!!,[]
490,PermenKaret,"12 May 21, 15:11",unvr ada skincare gak?,UNVR
491,Berkshire2002,"12 May 21, 15:10",@jameshermanto tapi kan rugi gk dapet gaji lagi jadinya kk T_T,[]
492,StockbitReports,"12 May 21, 15:10",Penunjukan/Perubahan Kantor Akuntan Publik dan/atau Akuntan Publik [AKRA],[]
493,SetiawanSkom,"12 May 21, 15:10",ppre yang bangun bandara gudang garam haha,PPRE
494,jameshermanto,"12 May 21, 15:08","@todopluto ini yang saya maksud bro
coba cari risetnya Malthusianism",[]
495,kaburterus,"12 May 21, 15:08","@simtar11 membeli saham pakai analisa bv hanya cocok untuk membeli emiten yang bakal bangkrut. Kemudian anda berhitung kalau bangkrut masih ada margin of safetynya gak. Mos = bvps - harga saham.

Nah kalau sudah tau mau bangkrut kenapa dibeli? Sungguh membagongkan.

Dan Kalau beli $UNVR pakai analisa bvps sungguh membagongkan....

Selamat belajar bapak.",UNVR
496,Berkshire2002,"12 May 21, 15:07",@jameshermanto kok kamu gk jadi Admin lagi sich? Ada kasus apa yach?,[]
497,jameshermanto,"12 May 21, 15:07","@Berkshire2002 its just a tag dude
im still the best admin",BEST
498,NatalieZafirah,"12 May 21, 15:04","Iya sih mas tp menurut aku kasihan. Resiko sih resiko tapi kalau ada pilihan lebih baik dan resiko lebih rendah akan aku kasih tau. Tinggal orangnya bisa memilih, kalau mau pendapat second opinion boleh juga. Seperti Dokter belum tentu 1 dokter bisa mengidentifikasi penyakit perlu pendapat dokter lain dan hasil lab2 lain untuk lebih akurat.",[]
499,Berkshire2002,"12 May 21, 15:04",@Truthfully siapa korbannya Om,[]
500,jameshermanto,"12 May 21, 15:04",$UNVR https://bit.ly/3eBRKUy,UNVR
501,secrettrader,"12 May 21, 15:03","The depth and sophistication of the US market is still unrivalled, despite the rise of its Shanghai equivalent. But attention is now turning to Southeast Asia in a big way.

THE SOUTHEAST ASIA GROWTH STORY 
That comes as little surprise in some ways. 

With a population nearing 700 million, the size of the market is massive. It s half that of China, but consumers are digital natives and young. Looking just at Indonesia, the median age is 30.2 years old.
Digital consumption, or those purchasing a product or service online, is growing rapidly. Bain and Co previously forecast that the number of digital consumers in Southeast Asia would reach 310 million by 2025.

It reached that number last year, five years early. To put that in context, these 310 million digital consumers represent about half of Southeast Asia s population. 40 million people in the region came online for the first time last year.",RISE
502,danzxcv,"12 May 21, 15:02 · Edited on 12 May 21, 15:02",@Truthfully Siapa yang larang? (3),[]
503,aldyfadilillaa,"12 May 21, 14:59",@internazionale oke om thnks om info nya,[]
504,Hacigo,"12 May 21, 14:57","panutan emang kang asep, bukti kesabaran dan ketekunan dapat mengalahkan segala rintangan

btw modal invest/trading di saham brp kang ?",[]
505,TiaraCitraSeptiana,"12 May 21, 14:56",cashflow operasional nya mines,[]
506,jameshermanto,"12 May 21, 14:56","@todopluto populasi itu kyk hubbert peak theory;
begitu udah peak, dia bakal balancing, turun

tapi masalahya nilai ekonomi juga turun kalau penduduk turun
which in turn ketika pertumbuhan ekonomi menyusut, buat pendapatan stagnant",[]
507,HunterGlory,"12 May 21, 14:56","bisa, kalo ada yg beli pre open di harga 1000",[]
508,RezaSyandika,"12 May 21, 14:56",koreksi sehat ya ?,[]
509,Fuadrahman,"12 May 21, 14:56",klo bndar borong bisa,[]
510,secrettrader,"12 May 21, 14:56","US sudah jadi rumah saham2 teknologi yang naik nya gila""an dengan amzn fb nflx goog msft dan sea (shopee)...... waktunya saham2 tech asia tenggara yang manggung.......shopee sahamnya setahun ini di nasdaq dari low maret 2020 sudah naik hampir 7x lipat........semoga investor ritel indonesia bisa dapat cuan dari wave tech asia tenggara........ $ARTO $EMTK $IHSG $MPPA","ARTO,EMTK,MPPA,TECH"
511,ardhatopan,"12 May 21, 14:56","As Buffett says, ""If you aren't willing to own a stock for 10 years, don't even think about owning it for 10 minutes.""
$IHSG $PBID $EKAD $RANC","EKAD,PBID,RANC"
512,Fuadrahman,"12 May 21, 14:55",iyaa biasa narik ritel hehee mainan mg,[]
513,Berkshire2002,"12 May 21, 14:55",@jameshermanto kok gak jd admin lagi sich??,[]
514,MRKAMBARA277,"12 May 21, 14:54",@Fuadrahman biar informasinya lebih menyebar kali ya gan?,[]
515,jameshermanto,"12 May 21, 14:53","@todopluto semakin banyak kota, semakin kurang pertumbuhan populasi",KOTA
516,sha74,"12 May 21, 14:52","@Alvin3131 yah gpp lah downtrend ini mau di coba hold di atas 6 bulanan,, thanks yaa info nya",[]
517,simtar11,"12 May 21, 14:52","$UNVR Dengan BV (quarter) 6.561 milyar & current share outstanding 38,15 milyar berarti BVPS-nya adalah Rp172 ya..?


$IHSG $BBCA $TLKM $ASII","ASII,BBCA,TLKM,UNVR"
518,Cintagame,"12 May 21, 14:51","@DailyInspiration penentuan nya adalah Q1 2021. kalo Q4 lebih ke arah uang kaget. Good news nya yah beban hutang $SOCI lebih ringan karena ada potongan diskon gede dari buy back obligasi. Yang menarik adalah pinjaman bank meningkat drastis. hutang obligasi turun banyak.

apakah SOCI optimis revenue bakal meningkat di tahun 2021 ini atau mereka mau keluarin obligasi baru ? gue juga belum tau apa alasannya. let's see aja dah.

PS: sektor perkapalan lagi uptrend. $TPMA, $SMDR udah jalan duluan. $TMAS $MBSS SHIP udah uget ugetan. kalo SOCI Q1 nya gemilang harusnya nyampe 1 bagger ke 400 an. Let's see karena bandar always RIGHT..","BANK,GOOD,MBSS,SHIP,SMDR,SOCI,TMAS,TPMA,UANG"
519,internazionale,"12 May 21, 14:51",mungkin masuk nanti tgl 17 . tunggu bursa buka . ada beberapa sekuritas seperti itu .,[]
520,Hidjrie,"12 May 21, 14:51","oo ternyata ini dia @hanif1009 yang borong, hihi",[]
521,Hidjrie,"12 May 21, 14:51","oo ternyata ini dia @hanif1009 yang borong, hihi",[]
522,AmsarJun,"12 May 21, 14:48","$AMAR $AGRO $BBYB $BBHI $BACA
OJK Institute: Prospek neobank di Indonesia sangat menjanjikan
Selasa, 17 November 2020

Jakarta (ANTARA) - Kepala OJK Institute Agus Sugiarto menilai prospek neobank atau virtual banking, layanan perbankan digital tanpa adanya kontak fisik antar manusia, sangat menjanjikan.

""Prospek neobank di Indonesia itu sebenarnya sangat menjanjikan. Ada beberapa alasan, pertama, pengguna internet di Indonesia itu hampir mencapai 200 juta orang menurut data dari Asosiasi Penyedia Jasa Internet Indonesia. Itu luar biasa besar sekali,"" ujar Agus dalam sebuah diskusi daring bertajuk Traditional Bank vs Neobank di Jakarta, Selasa.

Alasan berikutnya, lanjut Agus, dari hasil survei Otoritas Jasa Keuangan (OJK), indeks inklusi keuangan Indonesia masih 76,19 persen. Artinya dari setiap 100 penduduk di Indonesia yang sudah memiliki akses ke lembaga jasa keuangan atau ke produk-produk jasa keuangan, baru sekitar 76 orang.

""Artinya masih ada 24 orang yang belum punya akses. Dengan adanya layanan digital ini diharapkan angka inklusi keuangan itu bisa meningkat,"" kata Agus.

Selain itu, alasan lain prospek neobank di Indonesia sangat besar yaitu penjualan mobile device di Indonesia yang sudah mencapai 338 juta unit di 2020, melampaui total penduduk Indonesia saat ini.

""Bayangkan, penduduk kita hanya 280 juta, tapi penjualan mobile phone dan sejenisnya bisa mencapai 338 juta. Ini sebenarnya potensinya besar sekali,"" ujarnya.

Sementara itu, perilaku digital masyarakat saat ini juga semakin meningkat, mulai dari bangun tidur hingga tidur kembali pun tidak lepas dari aktivitas digital seperti melakukan chat secara daring, berbagi di sosial media, dan sebagainya.

""Terakhir, yang menjadi alasan prospek neobank di Indonesia sangat besar yaitu saat ini belum ada neobank yang beroperasi secara resmi. Yang disebut dengan neobank ya, bukan fintech,"" kata Agus.

Di beberapa negara, tutur Agus, istilah neobank ini sama artinya dengan internet-only banks atau bank digital yang sekarang sedang menjamur di negara-negara maju. Beberapa contoh neobank yang sudah beroperasi antara lain, Atom Bank dan Starling Bank di Inggris, JUNO dan AXOS di Amerika Serikat, Volt Bank di Australia, dan Jibuan Bank di Jepang. Dengan demikian, neobank ini bukan hanya sekedar cetak biru yang masih dalam angan-angan saja, melainkan sudah dipraktekkan di beberapa negara maju.

Menurut Agus, keberadaan neobank mengalami momentum yang luar biasa pada saat pandemi berlangsung mengingat adanya beberapa faktor pemicu. Pertama, keganasan virus COVID-19 yang menjalar dari manusia ke manusia menciptakan ketakutan yang luar biasa bagi semua orang, sehingga menyebabkan interaksi sosial menjadi berkurang dan semakin terbatas.

Kedua, penggunaan uang tunai semakin berkurang dan dihindari karena dampak penularan virus melalui uang kertas sangat tinggi, sehingga sedapat mungkin semua transaksi menggunakan instrumen nontunai. Ketiga, pemanfaatan metode pembayaran yang bersifat contactless semakin diminati masyarakat untuk menggantikan temu muka secara fisik.

Oleh karena itu, upaya mengurangi kontak fisik antar manusia dalam transaksi keuangan harus dilakukan guna mencegah penularan yang lebih besar. Fakta-fakta inilah yang menjadi momentum dan sekaligus katalisator perlunya kehadiran layanan keuangan perbankan secara digital yang bisa diwujudkan salah satunya dengan kehadiran neobank.



*****","AGRO,AMAR,BACA,BANK,BBHI,BBYB,UANG,UNIT"
523,jameshermanto,"12 May 21, 14:48",https://bit.ly/3oagK8u,[]
524,todopluto,"12 May 21, 14:48 · Edited on 12 May 21, 14:48","Setuju sih.

Saya juga baru sadar, dengan semakin bertambahnya populasi masyarakat indo, maka kebutuhan akan pembersih spt deterjen, sabun & shampo pun dalam jangka panjang akan naik juga, dan itu bisa dongkrak revenue nya UNVR dlm jangka panjang.

Jadi UNVR ini sebenarnya bisa bertumbuh DENGAN SENDIRINYA, berbarengan dengan terus bertambahnya populasi masyarakat indo

Tapi itu kalo populasinya terus bertambah ya","INDO,UNVR"
525,aldyfadilillaa,"12 May 21, 14:47","@ekoyudha nahh ane tanyain ke cs nya ga ada minimal deposit om, ane chat cs ga di bls",[]
526,Agusary23,"12 May 21, 14:46","Valuable sharing, thank you suhu",[]
527,kakdr,"12 May 21, 14:46","@simtar11 gue gak pernah pake PER paman wkwkwkw...
menurut gue per itu gak penting

buat gue, PBV dan DER lebih penting",[]
528,DailyInspiration,"12 May 21, 14:45","@idProperti ngikutin GWSA ga?, ini emiten kenapa dihargai murah bgt, apakah ada indikasi kyk LPCK?","GWSA,LPCK"
529,AmsarJun,"12 May 21, 14:45","$BACA $BBYB $BBHI $AGRO $AMAR
Kian Menjanjikan, Bisnis Bank Digital Jadi Ancaman Bank Konvensional
12 Apr 2021

Hal-hal yang berbau teknologi digital selalu menjadi sorotan. Apalagi banyaknya populasi masyarakat Indonesia yang belum tersentuh oleh layanan keuangan formal (underserved segment), tetapi memiliki akses internet dan ponsel cerdas.

Fakta ini menjadi potensi dan kesempatan besar bagi institusi keuangan untuk melebarkan sayapnya. Otoritas Jasa Keuangan (OJK) menyebutkan, beberapa bank kecil dan kelas kakap telah mengajukan izin menggarap bank digital. Hal tersebut menjadi bukti, bahwa bisnis bank digital sangat menjanjikan kedepan dan akan menjadi primadona.

Pengamat Institute for Development of Economics (Indef) Bhima Yudhistira bahkan menyebutkan bisnis bank tradisional saat ini sudah mulai terancam. Pasalnya potensi bank digital di Indonesia diperkirakan bisa merebut 20 persen-30 persen pangsa pasar bank tradisional dalam kurun waktu 5 tahun kedepan.

Bhima menyebut, segmen yang pertama kali bergeser adalah retail banking dimana sasarannya adalah pinjaman konsumsi, dan modal usaha skala kecil.

""Sekenarionya akan garap dua pasar secara paralel, merebut bisnis bank tradisional sekaligus masuk ke segmen unbakable yang selama ini memang belum disentuh bank tradisional. Apalagi di Indonesia masih terdapat 91,3 juta masyarakat yang belum tersentuh layanan perbankan,"" jelas Bhima dalam keterangan tertulis di Jakarta, Senin (12/4/2021).

Faktor kuncinya, kata Bhima, adalah keamanan sistem, bunga yang kompetitif, dan efisiensi biaya operasional. Karena bank digital tidak perlu buka banyak kantor cabang, dan menggunakan teknologi big data hingga AI. Pemanfaatan big data dan AI bakal efektif untuk melakukan credit scoring/ analisa kredit, penagihan, hingga layanan customer service.

Melihat potensi bisnis bank berbasis teknologi di masa depan, Bhima menganjurkan sebaiknya OJK mendorong akuisisi dan merger bank bank kecil plus startup agar menjadi bank digital. Karena tujuan kehadiran bank digital untuk mendorong persaingan bank yang lebih sehat, sekaligus mengakselerasi inklusi dan literasi finansial.

Fenomena Bank Digital

Seperti diketahui, fenomena bank digital ramai diperbincangkan belakangan ini. Khususnya di pasar modal. Bagaimana tidak, pergerakan saham emiten bank yang digadang-gadang jadi bank digital sempat melesat, dan bahkan masih ada yang konsisten bergerak di harga yang fantastis dan bukan tidak mungkin masih akan terus bergerak naik.

Sebut saja saham berkode emiten ARTO atau bank Jago. Saham bank yang dulunya bernama Bank Artos ini sempat mencapai harga tertinggi Rp11.375 tahun ini dan secara year to date (YTD) sudah naik sebesar 158,52 persen. Dalam 3 tahun bahkan sudah naik 1.461,55 persen.

Padahal, ARTO mencatatkan saham perdana di BEI pada 12 Januari 2016 dengan harga IPO Rp132 per saham.

Analis Pilarmas Investindo Sekuritas, Maximilianus Nico Demus mengungkapkan, kenaikan saham ARTO atau bank Jago karena ekspetasi pasar kedepan. Investor, katanya punya keyakinan kinerja ARTO akan cerah di masa yang akan datang, karena didukung Gojek. Artinya hitung-hitungan harga dari saham yang ditawarkan perusahaan adalah harga saham yang mahal atau murah sudah tidak berlaku bagi investor.

Ia menjabarkan, yang membedakan ARTO dengan bank yang digadang-gadang bakal jadi bank digital lainnya, ARTO saat ini sudah dimiliki Gojek yang punya ekosistem luar biasa besar. Bayangkan saat ini ujarnya ada sebanyak 40 juta user aktif di Gojek. Potensi user aktif itu sangat besar menjadi nasabah bank JAGO. Sehingga tidak heran saham ARTO terus melonjak.

Belum lagi ditambah kabar merger dengan Tokopedia. Hal tersebut menjadi landasan kuat buat investor terus berburu saham ARTO.

""Kita tahu Tokopedia punya 70-80 juta user aktif setiap hari. Bayangkan jika keduanya bergabung, kita berbicara bank yang notabene melakukan funding dan lending. Katakanlah ada 100 juta user keduanya yang masuk menjadi nasabah bank Jago, akan sangat luarbiasa besar pengaruhnya. Inilah yang membedakan bank Jago dengan bank-bank lain,"" jelasnya.","AGAR,AGRO,AMAR,ARTO,BACA,BANK,BBHI,BBYB,MASA"
530,jameshermanto,"12 May 21, 14:45 · Edited on 12 May 21, 14:45","@simtar11 let the market decide what's best, i don't even know what's best for us dude

i bought UNVR, and i promote UNVR because there is fear; when there is fear, there i am, balancing

i dont put my money on pbrx, sril
i wont call myself a hero,
right or wrong, we are all fucked at the end bro
so lets put a smile in our face and dance if we want to dance","BEST,HERO,PBRX,SRIL,UNVR"
531,ekoyudha,"12 May 21, 14:44","@aldyfadilillaa iya om, tf ke rekening sinarmas di opsi deposit
ane kmaren tf 400k bisa sih om",[]
532,Cintagame,"12 May 21, 14:44","@NatalieZafirah biasanya yg dollar cost averaging cocok nya untuk investor pendapatan tetap yg rajin nabung saham dari porsi investasi nya tiap bulan. tipe investor seperti ini gak peduli harga saham naik atau turun. sebetulnya ini strategi terbaik untuk pasive investor yang kurang begitu peduli dengan dinamika bursa saham.

asalkan sudah punya pilihan saham tertentu, tinggal konsisten saja menabung saham tiap bulan. review setahun sekali. selama perusahaan pilihannya masih on the right track yah lanjut terus sampai bertahun tahun kemudian. contohnya yg ideal pake strategi Dollar cost averaging adalah penggemar saham dan .",[]
533,todopluto,"12 May 21, 14:43","Apakah $BBCA $BBRI $BMRI $BBNI akan segera rebound ?

Simak ulasannya di video ini.

https://bit.ly/3y5DDOT","BBCA,BBNI,BBRI,BMRI"
534,kaburterus,"12 May 21, 14:43 · Edited on 12 May 21, 14:50","$IHSG   Treasury stock vs Right issue mana yang lebih bermanfaat?


Emiten dapat melakukan 2 corporate action yang paling penting terkait dengan manajemen ekuitasnya; yaitu (1) membeli Kembali saham dari market (treasury stock) dan (2) menerbitkan saham baru, kemudian dijual untuk penambahan modal. Jadi cukup jelas beda ke-dua corporate action tersebut, yaitu membeli dan menjual. Walaupun jelas perbedaannya, dapatkah anda menebak corporate action yang mana yang meberikan manfaat terbesar untuk emiten dan shareholdernya?

Betul, treasury stock adalah jawabannya. Karena dengan membeli saham treasury stock, secara definisi yang paling  harfiah  bahwa terbukti emiten telah mampu mengembalikan sebagian modal dari shareholdernya. Modal yang telah dikembalikan tidak membutuhkan dividend untuk dibayarkan. Semakin sedikit dividend yang dibagikan semakin kecil cost of capital yang harus dikeluarkan oleh emiten, dan berarti semakin besar benefit yang didapatkan oleh emiten.

Dan sebaliknya cost yang termahal adalah right issue. Meskipun pada saat ini terdapat cash masuk hasil right issue yang diterima oleh emiten, tetapi dalam jangka panjang dengan batas waktu yang tidak terhingga, emiten pada akhirnya harus mengembalikan uang modal tersebut kepada shareholdernya, entah itu dalam bentuk treasury stock maupun dalam bentuk dividen.

Walaupun dividend yang dibagikan dengan DPR yang sangat rendah seklaipun, tetapi karena jumlah saham dibagikan semakin banyak (setelah right issue), dan jangka waktu pembayaran dividend tidak terbatas (terhingga), maka cost yang harus dibayarkan oleh emiten sebesar;
= dividend per share X jumlah saham (yang semakin banyak jumlahnya) X waktu ~ (waktu tak terhingga) = ~

Dan sesuai dengan kaidah matematika bahwa sesuatu yang dikalikan dengan tak terhingga, hasilnya akan menjadi tidak terhingga (saking besarnya tidak ada satuan hitung yang dapat digunakan). Oleh karena itu meskipun emiten mendapatkan benefit dari right issue tetapi benefit-nya lebih kecil dibandingkan dengan cost-nya yang tidak terhingga.

Bahkan saking mahalnya cost right issue, menjadi cost of capital yang paling mahal dibandingkan dengan; Berutang kepada Bank, menerbitkan obligasi, atau menerbitkan MTN. Cost capital dari pembiayaan ini bersifat terbatas, yaitu akan menjadi nihil setelah utang dilunasi. Berbeda dengan tambahan setoran modal, yang costnya tidak akan pernah lunas-lunas sepanjang sahamnya belum di-buy-back (treasury stock) oleh emiten.

Tetapi kalau anda aliran YANG PENTING CUANG (YPC), tidak perlu baca postingan ini, karena memang right issue adalah bahan bakar untuk menggoreng saham. Tapi kalau anda cuman faham fundamental, maka saya simpulkan bahwa emiten yang senang melakukan right issue adalah tanda emiten tersebut tidak cakap berbisnis, sehingga bisnis yang eksisting tidak mampu menciptakan modal secara mandiri (laba) yang cukup untuk membiayai aktivitas bisnis saat ini. Akibatnya emiten terpaksa atau tidak, kembali menyusu kepada shareholdernya lewat right issue.

Emiten yang seperti itu adalah emiten yang tidak perduli dengan shareholdernya yang lebih meng-utamakan ""paling tidak"" modalnya kembali, dan tetap masih dapat untung setelah modalnya kembali. Intinya emiten semacam ini adalah tukang bikin susah shareholdernya.

Oleh karena itu kalau anda bukan aliran YPC hindari emiten yang doyan right issue.

Demikian semoga bermangfaat.","BACA,BANK,CASH,UANG"
535,vorstenlanden,"12 May 21, 14:43",@Berkshire2002 all time high,[]
536,arisx5,"12 May 21, 14:42",@ckck kalau b pompom jadi ngajak orang lain ikut cuan juga. kalau cuma diem2 bukannya egois mau cuan sendiri?,[]
537,Berkshire2002,"12 May 21, 14:42",@Elite fase bunuh diri,[]
538,AmsarJun,"12 May 21, 14:42","$BBHI $BBYB $BACA $AMAR $AGRO
Mengulas Transaksi di Bank Digital: Apa Untungnya dan Amankah Buat Nasabah
20 April 2021

Perkembangan teknologi membuat sektor perbankan terus berinovasi. Sejatinya inovasi tersebut telah dirintis industri perbankan sejak beberapa tahun lalu, ditandai munculnya layanan mobile banking dan online banking. Kedua layanan tersebut pun disambut baik nasabah.

Namun, inovasi perbankan tidak berhenti sampai di situ. Saat ini bank kembali berinovasi dengan mendirikan unit usaha baru, yaitu bank digital. Sudah ada sederet nama bank yang digadang-gadang akan menjadi bank digital. Sebut saja Bank Jago, Bank Aladin Syariah, Bank BCA Digital, Bank AMAR, Bank Neo dan lain sebagainya.

PT Bank Central Asia Tbk (BCA) merupakan salah satu bank besar yang tidak tanggung-tanggung dalam melahirkan bank digital. Perseroan bahkan mengakuisisi dua bank kecil yaitu Bank Royal dan Rabobank.

Rabobank kini telah berganti nama menjadi PT Bank Interim Indonesia pasca dicaplok sahamnya oleh BCA. Pun, bank tersebut sudah dimerger dengan PT Bank BCA Syariah untuk memperkuat bisnis anak usahanya tersebut.

Sementara Bank Royal kini berganti nama menjadi PT Bank BCA Digital. Bank BCA Digital ini digadang-gadang untuk menangkap peluang pasar digital yang tidak bisa atau belum digarap oleh BCA.

Excecutive Vice President Secretariat & Corporate Communication BCA Hera F. Haryn mengatakan aksi korporasi tersebut merupakan langkah strategis BCA dalam rangka melengkapi layanan perbankan BCA demi menjangkau kebutuhan nasabah di Tanah Air.

""Anak perusahaan BCA yakni BCA Digital, saat ini tengah menyiapkan dan mengembangkan infrastruktur sekaligus ekosistem yang terintegrasi dan mendukung segala aktivitas produk, layanan, keamanan, kenyamanan transaksi perbankan di BCA Digital agar dapat memberikan service excellence kepada nasabah,"" ujar Hera kepada kumparan, Selasa (20/4).

Meski regulasinya belum diatur oleh OJK, namun Hera menegaskan bahwa pihaknya menjadi keamanan pada semua transaksi di BCA Digital. Hera menegaskan bahwa keamanan merupakan prioritas utama perseroan.

BCA bahkan berkomitmen untuk melakukan pemutakhiran dan menjaga security system dalam aktivitas operasional bisnis yang dilakukan perseroan.

""Kami juga mencermati bahwa prospek bank digital di Indonesia sangat baik seiring dengan kebutuhan masyarakat Indonesia dalam melengkapi layanan perbankan digital,"" ujarnya.

Prospek yang menjanjikan inilah yang menjadi penyebab perbankan lain juga turut menyiapkan unit usaha bank digital mereka. Ekonom Paul Sutaryono mengatakan hadirnya bank digital ini diharapkan mampu menjawab kebutuhan pasar yang memiliki preferensi untuk melakukan transaksi keuangan berbasis digital.

""Inilah penyebabnya. Ada perubahan perilaku konsumen yang lebih suka berbelanja online dan melakukan transaksi keuangan berbasis TI atau digital,"" ujarnya.

Ditambah lagi pandemi COVID-19 setahun belakangan juga mengakselerasi digitalisasi perbankan. Masyarakat menjadi lebih cepat beradaptasi dengan transaksi online termasuk layanan perbankan.

Meski demikian, kemunculan bank digital ini sejatinya kalah start dengan menjamurnya layanan finansial teknologi. Di Indonesia fintech layanan pembayaran sudah lebih dulu memenangi pasar. Sebut saja OVO, Gopay, LinkAja, DANA, Jenius dan masih banyak lagi.

Sehingga munculnya bank digital juga disebut-sebut akan menjadi pesaing sengit bagi pelaku fintech. Namun menurut Paul, untuk beberapa hal, bank digital dianggap punya prospek yang lebih unggul dibandingkan fintech.

Sebab bank digital dinilai memiliki jangkauan yang lebih luas serta dukungan modal yang lebih besar.  Bank digital tentu mampu bersaing dengan fintech karena jangkauannya lebih luas dengan memanfaatkan jaringan yang sudah ada plus modal yang lebih perkasa. Itu sekaligus sebagai nilai plus,"" ujarnya.



*****","AGAR,AGRO,AKSI,AMAR,BACA,BANK,BBHI,BBYB,SATU,UNIT"
539,Berkshire2002,"12 May 21, 14:42",All Time Haid,[]
540,Berkshire2002,"12 May 21, 14:42",@vorstenlanden ATH itu apa yach?,[]
541,DavidDj,"12 May 21, 14:40","https://bit.ly/2QbyaF7

$TLKM berita pom pom terus....jatuhkan saja Bandar...ga tertarik belinya",TLKM
542,simtar11,"12 May 21, 14:40 · Edited on 12 May 21, 14:42","@kakdr Dengan current PER (TTM) 30,66x dan curent P/BV 32,71x maka jika P/BVnya ""dibuat"" menjadi 1x apakah PER $UNVR menjadi 1.003x ?",UNVR
